geo_point,geo_shape,grid_code,source,to_node,arcid,from_node,route_length_m
"-37.806530312942286, 144.96222816523743","{""coordinates"": [[[144.96143407274448, -37.80660300667022], [144.96160560459424, -37.80656091724199], [144.9617889844826, -37.80650100910343], [144.96185710175254, -37.80650218811115], [144.96186870229266, -37.80649337712831], [144.96199383159671, -37.8064865310465], [144.96200543211867, -37.80647772004962], [144.96227740595012, -37.806500450306565], [144.96228851122106, -37.80650965424617], [144.9623793342874, -37.80651122586291], [144.96239043957303, -37.8065204297933], [144.9624812626583, -37.80652200133184], [144.9624923679586, -37.806531205253016], [144.9625831910628, -37.80653277671335], [144.96259429637774, -37.8065419806253], [144.96268511950092, -37.806543552007426], [144.96269622483052, -37.806552755910154], [144.96278704797265, -37.80655432721408], [144.96279815331692, -37.806563531107585], [144.962888976478, -37.80656510233331], [144.96290008183692, -37.80657430621759], [144.96302496371135, -37.80657646652738]]], ""type"": ""MultiLineString""}",3,2008 DEM to stream order using ESRI Spatial Analy*,2377,2560,2392,146.13210973246268
"-37.806151454677575, 144.93488784510433","{""coordinates"": [[[144.9348797127496, -37.806149318384335], [144.9348910653823, -37.806149517480016], [144.93489081444721, -37.80615852480854]]], ""type"": ""MultiLineString""}",1,2008 DEM to stream order using ESRI Spatial Analy*,2400,2573,2396,2.000000002386514
"-37.80578173440378, 144.9091979314284","{""coordinates"": [[[144.90918670606328, -37.80577702924325], [144.9092091567935, -37.8057864395643]]], ""type"": ""MultiLineString""}",3,2008 DEM to stream order using ESRI Spatial Analy*,2411,2588,2408,2.236067978228665
"-37.80592278798643, 144.90952901683102","{""coordinates"": [[[144.9095348200453, -37.8059183851636], [144.9095232136167, -37.80592719080926]]], ""type"": ""MultiLineString""}",3,2008 DEM to stream order using ESRI Spatial Analy*,2435,2621,2432,1.4142135632785937
"-37.80643621963468, 144.93850951869652","{""coordinates"": [[[144.93850654898756, -37.806429149579735], [144.93850629848913, -37.806438156928344], [144.938517651192, -37.80643835567582]]], ""type"": ""MultiLineString""}",2,2008 DEM to stream order using ESRI Spatial Analy*,2437,2623,2436,2.0000000008149073
"-37.80593219824455, 144.90955146765106","{""coordinates"": [[[144.90955727086484, -37.805927795420594], [144.90954566443727, -37.805936601068495]]], ""type"": ""MultiLineString""}",3,2008 DEM to stream order using ESRI Spatial Analy*,2438,2626,2436,1.4142135605620976
"-37.805951321044546, 144.90961339794003","{""coordinates"": [[[144.9096021725215, -37.80594661592224], [144.90962462335858, -37.80595602616685]]], ""type"": ""MultiLineString""}",3,2008 DEM to stream order using ESRI Spatial Analy*,2445,2635,2443,2.236067975209039
"-37.805960126698025, 144.90960179151506","{""coordinates"": [[[144.909590566096, -37.805955421574595], [144.90961301693412, -37.805964831821456]]], ""type"": ""MultiLineString""}",2,2008 DEM to stream order using ESRI Spatial Analy*,2446,2636,2444,2.2360679773956647
"-37.80701416469398, 144.96932250901511","{""coordinates"": [[[144.9693283089003, -37.80700975882375], [144.96931670912997, -37.80701857056421]]], ""type"": ""MultiLineString""}",1,2008 DEM to stream order using ESRI Spatial Analy*,2451,2643,2448,1.414213563649025
"-37.80611089161627, 144.90997235812074","{""coordinates"": [[[144.9099611326541, -37.806106186526925], [144.9099835835874, -37.806115596705624]]], ""type"": ""MultiLineString""}",2,2008 DEM to stream order using ESRI Spatial Analy*,2479,2680,2477,2.2360679777080397
"-37.80611149610025, 144.91000641546307","{""coordinates"": [[[144.90999518999402, -37.80610679101408], [144.91001764093213, -37.80611620118642]]], ""type"": ""MultiLineString""}",3,2008 DEM to stream order using ESRI Spatial Analy*,2480,2682,2478,2.2360679784889776
"-37.806648372644936, 144.91131450978065","{""coordinates"": [[[144.91132031295186, -37.80664396973313], [144.91130870660945, -37.80665277555674]]], ""type"": ""MultiLineString""}",3,2008 DEM to stream order using ESRI Spatial Analy*,2598,2826,2597,1.4142135632785937
