geo_point,geo_shape,suburb_id,latitude,street_no,str_name,address_pnt,easting,northing,gisid,longitude,suburb,street_id,add_comp,missing_street_number_flag,missing_street_name_flag,missing_suburb_flag,missing_suburb_id_flag,address_completeness
"-37.828366923248, 144.919893332068","{""coordinates"": [144.919893332068, -37.828366923248], ""type"": ""Point""}",594,-37.82836692,81,Cook Street,81 Cook Street  Port Melbourne,316937.31500499,5811189.23935139,48431,144.91989333,Port Melbourne,1447,,False,False,False,False,Complete
"-37.794936271732, 144.975218147944","{""coordinates"": [144.975218147944, -37.794936271732], ""type"": ""Point""}",585,-37.79493627,215,Nicholson Street,215 Nicholson Street  Carlton,321726.36165418,5815005.92692979,45274,144.97521815,Carlton,931,,False,False,False,False,Complete
"-37.793296676095, 144.91983323219","{""coordinates"": [144.91983323219, -37.793296676095], ""type"": ""Point""}",590,-37.79329668,44,Mcallister Mews,44 Mcallister Mews  Kensington,316845.36892623,5815080.75591758,58604,144.91983323,Kensington,1425,,False,False,False,False,Complete
"-37.809005134114, 144.980343152787","{""coordinates"": [144.980343152787, -37.809005134114], ""type"": ""Point""}",587,-37.80900513,258,Victoria Parade,258 Victoria Parade  East Melbourne,322211.38821502,5813454.53178158,7594,144.98034315,East Melbourne,1151,,False,False,False,False,Complete
"-37.798005907558, 144.939650308576","{""coordinates"": [144.939650308576, -37.798005907558], ""type"": ""Point""}",592,-37.79800591,23,Henderson Street,23 Henderson Street  North Melbourne,318601.9350158,5814596.84715152,30871,144.93965031,North Melbourne,702,,False,False,False,False,Complete
"-37.832978084187, 144.987341901358","{""coordinates"": [144.987341901358, -37.832978084187], ""type"": ""Point""}",595,-37.83297808,6,The Righi,6 The Righi  South Yarra,322884.86966748,5810807.65052411,61815,144.9873419,South Yarra,1032,,False,False,False,False,Complete
"-37.812533246621, 144.957766942227","{""coordinates"": [144.957766942227, -37.812533246621], ""type"": ""Point""}",591,-37.81253325,483,Little Lonsdale Street,483 Little Lonsdale Street  Melbourne,320232.37297901,5813019.82255831,29185,144.95776694,Melbourne,825,,False,False,False,False,Complete
"-37.820682308184, 144.920093329685","{""coordinates"": [144.920093329685, -37.820682308184], ""type"": ""Point""}",594,-37.82068231,633,Lorimer Street,633 Lorimer Street  Port Melbourne,316935.92630413,5812042.37055418,2861,144.92009333,Port Melbourne,1370,,False,False,False,False,Complete
"-37.815950158158, 144.970069044648","{""coordinates"": [144.970069044648, -37.815950158158], ""type"": ""Point""}",591,-37.81595016,26,Oliver Lane,26 Oliver Lane  Melbourne,321323.61934007,5812664.26661333,14147,144.97006905,Melbourne,944,,False,False,False,False,Complete
"-37.795242552781, 144.936392816517","{""coordinates"": [144.936392816517, -37.795242552781], ""type"": ""Point""}",592,-37.79524255,319,Macaulay Road,319 Macaulay Road  North Melbourne,318308.33505284,5814897.15725245,32997,144.93639282,North Melbourne,847,,False,False,False,False,Complete
"-37.806890639821, 144.944524023786","{""coordinates"": [144.944524023786, -37.806890639821], ""type"": ""Point""}",597,-37.80689064,50,Abbotsford Street,50 Abbotsford Street  West Melbourne,319052.76329774,5813620.39242369,50655,144.94452402,West Melbourne,367,,False,False,False,False,Complete
"-37.841325290552, 144.985359216199","{""coordinates"": [144.985359216199, -37.841325290552], ""type"": ""Point""}",595,-37.84132529,16,Pasley Street North,16 Pasley Street North  South Yarra,322730.3610802,5809877.63016094,59991,144.98535922,South Yarra,966,,False,False,False,False,Complete
"-37.785597190001, 144.958021725032","{""coordinates"": [144.958021725032, -37.785597190001], ""type"": ""Point""}",593,-37.78559719,174,Mile Lane,174 Mile Lane  Parkville,320189.48608465,5816009.29874064,19004,144.95802172,Parkville,897,,False,False,False,False,Complete
"-37.81541047454, 144.962844724893","{""coordinates"": [144.962844724893, -37.81541047454], ""type"": ""Point""}",591,-37.81541047,356,Little Collins Street,356 Little Collins Street  Melbourne,320686.35499082,5812710.30817813,27284,144.96284472,Melbourne,812,,False,False,False,False,Complete
"-37.834290824376, 144.903225561755","{""coordinates"": [144.903225561755, -37.834290824376], ""type"": ""Point""}",594,-37.83429082,75,Kooringa Way,75 Kooringa Way  Port Melbourne,315485.043021,5810499.0692148,47202,144.90322556,Port Melbourne,120132,,False,False,False,False,Complete
"-37.799195886094, 144.944340302718","{""coordinates"": [144.944340302718, -37.799195886094], ""type"": ""Point""}",592,-37.79919589,298,Dryburgh Street,298 Dryburgh Street  North Melbourne,319017.80255809,5814473.89472554,13447,144.9443403,North Melbourne,585,,False,False,False,False,Complete
"-37.817531201969, 144.960465146044","{""coordinates"": [144.960465146044, -37.817531201969], ""type"": ""Point""}",591,-37.8175312,70,Market Street,70 Market Street  Melbourne,320482.01686782,5812470.40801605,6885,144.96046515,Melbourne,1424,,False,False,False,False,Complete
"-37.810386477507, 144.989046403914","{""coordinates"": [144.989046403914, -37.810386477507], ""type"": ""Point""}",587,-37.81038648,176,Simpson Street,176 Simpson Street  East Melbourne,322980.90624091,5813317.77866987,7722,144.9890464,East Melbourne,1073,,False,False,False,False,Complete
"-37.811006914986, 144.965256423455","{""coordinates"": [144.965256423455, -37.811006914986], ""type"": ""Point""}",591,-37.81100691,43,QV Terrace,43 QV Terrace  Melbourne,320888.01525949,5813203.58130303,41806,144.96525642,Melbourne,117918,,False,False,False,False,Complete
"-37.821126779955, 144.961231326193","{""coordinates"": [144.961231326193, -37.821126779955], ""type"": ""Point""}",596,-37.82112678,4,Queens Bridge Street,4 Queens Bridge Street  Southbank,320558.17162094,5812072.89256043,42510,144.96123133,Southbank,1009,,False,False,False,False,Complete
"-37.826328799506, 144.957679075076","{""coordinates"": [144.957679075076, -37.826328799506], ""type"": ""Point""}",596,-37.8263288,89,Clarendon Street,89 Clarendon Street  Southbank,320258.11119637,5811488.81177291,49649,144.95767908,Southbank,1366,,False,False,False,False,Complete
"-37.775893239104, 144.940499838869","{""coordinates"": [144.940499838869, -37.775893239104], ""type"": ""Point""}",593,-37.77589324,64,Strickland Road,64 Strickland Road  Parkville,318622.67145522,5817052.25232979,20862,144.94049984,Parkville,119261,,False,False,False,False,Complete
"-37.792611651769, 144.918390701422","{""coordinates"": [144.918390701422, -37.792611651769], ""type"": ""Point""}",590,-37.79261165,148,Stockmans Way,148 Stockmans Way  Kensington,316716.64974273,5815153.94229434,59312,144.9183907,Kensington,1438,,False,False,False,False,Complete
"-37.80471454311, 144.947655956935","{""coordinates"": [144.947655956935, -37.80471454311], ""type"": ""Point""}",592,-37.80471454,29,Curzon Street,29 Curzon Street  North Melbourne,319323.19817889,5813867.92764389,55676,144.94765596,North Melbourne,552,,False,False,False,False,Complete
"-37.799570531744, 144.974286639601","{""coordinates"": [144.974286639601, -37.799570531744], ""type"": ""Point""}",585,-37.79957053,5,Faraday Street,5 Faraday Street  Carlton,321655.48511933,5814489.90557035,10413,144.97428664,Carlton,621,,False,False,False,False,Complete
