_id,geo_point_2d,geo_shape,built,dnstr_pit,upstr_inv,upstr_pit,ref,width_mm,condition,carrying,operator,diameter,material,height_mm,form,mat_desc,dnstr_inv
6940,"-37.83489027600492, 144.9764005810535","{""coordinates"": [[144.9762754706948, -37.83487745792589], [144.97628417394245, -37.83487494185878], [144.9765161718222, -37.83490522953746], [144.976524858453, -37.83491001628843]], ""type"": ""LineString""}",2014-08-08,,,,1580117,0,4.98131036851844,Stormwater,City of Melbourne,600,Concrete,0,Pipe,,
6941,"-37.83500010276788, 144.9772422550677","{""coordinates"": [[144.97684665705555, -37.834954563244835], [144.97685556973659, -37.83494953825869], [144.9776275847455, -37.835050321356356], [144.97763657496694, -37.83505768339259]], ""type"": ""LineString""}",2014-08-08,,,,1580130,0,4.98131036334512,Stormwater,City of Melbourne,600,Concrete,0,Pipe,,
6942,"-37.83513459198053, 144.9783840046157","{""coordinates"": [[144.97837091487838, -37.83515100785217], [144.978397094353, -37.835118176108885]], ""type"": ""LineString""}",2014-08-08,,,,1580137,0,4.98170590839644,Stormwater,City of Melbourne,825,Concrete,0,Pipe,,
6943,"-37.83491336463578, 144.97675567456366","{""coordinates"": [[144.97678021248046, -37.83489343555841], [144.97673113664683, -37.834933293713156]], ""type"": ""LineString""}",2014-08-08,,,,1580139,0,4.97978021373399,Stormwater,City of Melbourne,100,Plastic,0,Pipe,,
6944,"-37.83472580065131, 144.9752964231791","{""coordinates"": [[144.97527182169068, -37.83474642223223], [144.9753210246675, -37.8347051790704]], ""type"": ""LineString""}",2014-08-08,,,,1580138,0,4.97966127422188,Stormwater,City of Melbourne,300,Concrete,0,Pipe,,
6945,"-37.83507543806711, 144.97799609721108","{""coordinates"": [[144.97799149360824, -37.83509782619495], [144.9780007008139, -37.83505304993927]], ""type"": ""LineString""}",2014-08-08,,,,1580140,0,4.97978021331768,Stormwater,City of Melbourne,100,Plastic,0,Pipe,,
6946,"-37.834696960523424, 144.97503609218305","{""coordinates"": [[144.97501036631982, -37.8346673855399], [144.97501107889843, -37.834669042440645], [144.97505567755218, -37.834720057260895], [144.97506510597913, -37.83471940296809]], ""type"": ""LineString""}",2014-08-08,,,,1580111,0,4.98131037084856,Stormwater,City of Melbourne,600,Concrete,0,Pipe,,
6947,"-37.83472177032699, 144.97510771444078","{""coordinates"": [[144.97506513647414, -37.83471945125488], [144.97507564489567, -37.834717156474674], [144.9751412741093, -37.83472572538695], [144.97514936732628, -37.834730435344994]], ""type"": ""LineString""}",2014-08-08,,,,1580113,0,4.98131037003622,Stormwater,City of Melbourne,600,Concrete,0,Pipe,,
6948,"-37.834854144563096, 144.97628026938781","{""coordinates"": [[144.9762850680808, -37.83483083120029], [144.9762754706948, -37.83487745792589]], ""type"": ""LineString""}",2014-08-08,,,,1580114,0,4.97966128463231,Stormwater,City of Melbourne,300,Concrete,0,Pipe,,
6949,"-37.83489717646425, 144.97639964298347","{""coordinates"": [[144.9762754706948, -37.83487745792589], [144.97628319720778, -37.83488211824677], [144.97651410474555, -37.834912264627086], [144.976524858453, -37.83491001628843]], ""type"": ""LineString""}",2014-08-08,,,,1580120,0,4.98131036734268,Stormwater,City of Melbourne,600,Concrete,0,Pipe,,
6950,"-37.83493452835557, 144.97668517344187","{""coordinates"": [[144.976524858453, -37.83491001628843], [144.97653364925242, -37.83491481654447], [144.9768389275161, -37.834954670124034], [144.97684665705555, -37.834954563244835]], ""type"": ""LineString""}",2014-08-08,,,,1580124,0,4.98131036566456,Stormwater,City of Melbourne,600,Concrete,0,Pipe,,
6951,"-37.83491549472331, 144.97700478504484","{""coordinates"": [[144.97700928092462, -37.83490839069853], [144.97700536349782, -37.83491361598313], [144.97700286028427, -37.834917817502635], [144.97700194318924, -37.834923312428494]], ""type"": ""LineString""}",2014-08-08,,,,1580128,0,4.97978021848667,Stormwater,City of Melbourne,225,Plastic,0,Pipe,,
