_id,asset_number,asset_description,construction_material_lupvalue,grate_length,grate_material_lupvalue,grate_width,model_descr_lupvalue,model_no_lupvalue,object_type_lupvalue,overflow_kerb_lupvalue,lat,lon,location
11238,1141036,SWD Pit - Lane Type,Brick,500,Mild Steel,490,SWD Pit - Laneway Type - Unclassified,300407-000,Lane Type,None,-37.81212583177075,144.9669992618187,"-37.81212583177075, 144.9669992618187"
11239,1794353,SWD Pit - Lane Type,In Situ Concrete,700,Mild Steel,600,SWD Pit - Laneway Type - Non Standard Frame and Grate,300407-003,Lane Type,None,-37.81500811074845,144.93739394420257,"-37.81500811074845, 144.93739394420257"
11240,1142742,SWD Pit - Grated OFK,In Situ Concrete,900,Mild Steel,430,SWD Pit - Grated Overflow Kerb Pit - Unclassified,300405-000,Grated OFK,Concrete,-37.81627423233466,144.97113288049295,"-37.81627423233466, 144.97113288049295"
11241,1529060,SWD Pit - Grated OFK,In Situ Concrete,930,Mild Steel,600,"SWD Pit - Grated Overflow Kerb Pit - Exposed Aggregate Kerb, Non Standard Frame and Grate",300405-006,Grated OFK,Concrete,-37.80015049574918,144.95000868801603,"-37.80015049574918, 144.95000868801603"
11242,1152728,SWD Pit - Junction,Precast Concrete,0,None,0,SWD Pit - Junction Pit - Unclassified,300410-000,Junction,Not Known,-37.82777965561129,144.98790115799466,"-37.82777965561129, 144.98790115799466"
11243,1148128,SWD Pit - Grated OFK,In Situ Concrete,930,Mild Steel,600,"SWD Pit - Grated Overflow Kerb Pit - Exposed Aggregate Kerb, 937x549 Frame and Grate",300405-005,Grated OFK,Concrete,-37.80685506098684,144.96877147848312,"-37.80685506098684, 144.96877147848312"
11244,1598628,SWD Pit - Lane Type,Not Known,930,Mild Steel,600,SWD Pit - Laneway Type - Unclassified,300407-000,Lane Type,None,-37.776290140700986,144.93965488381767,"-37.776290140700986, 144.93965488381767"
11245,1143563,SWD Pit - Grated Kerbside,In Situ Concrete,930,Mild Steel,600,SWD Pit - Grated Kerbside Pit - Non Standard Frame and Grate,300404-003,Grated Kerbside,None,-37.80331414301321,144.95548140920562,"-37.80331414301321, 144.95548140920562"
11246,1147984,SWD Pit - Grated OFK,Brick,1040,Mild Steel,630,"SWD Pit - Grated Overflow Kerb Pit - Bluestone Kerb, Non Standard Frame and Grate",300405-003,Grated OFK,Bluestone,-37.793753832419846,144.97102028691216,"-37.793753832419846, 144.97102028691216"
11247,1472817,Grated Kerbside,In Situ Concrete,,,,SWD Pit - Not Known,,Grated Kerbside,,-37.830818731342745,144.97282637667138,"-37.830818731342745, 144.97282637667138"
11248,1364219,SWD Pit - Lane Type,Cast Iron Concrete Infill,350,Cast Iron,350,SWD Pit - Laneway Type - Non Standard Frame and Grate,300407-003,Lane Type,None,-37.81938844106715,144.96443479516577,"-37.81938844106715, 144.96443479516577"
11249,1141936,SWD Pit - Lane Type,Cast Iron Concrete Infill,350,Cast Iron,350,SWD Pit - Laneway Type - Non Standard Frame and Grate,300407-003,Lane Type,None,-37.820049407419056,144.9651359743292,"-37.820049407419056, 144.9651359743292"
11250,1144543,SWD Pit - Grated OFK,Brick,910,Mild Steel,430,"SWD Pit - Grated Overflow Kerb Pit - Bluestone Kerb, 915x381 Frame and Grate",300405-001,Grated OFK,Bluestone,-37.805427811738625,144.9411673459668,"-37.805427811738625, 144.9411673459668"
11251,1794093,SWD Pit - Lane Type,Precast Concrete,1000,Mild Steel,1000,SWD Pit - Laneway Type - Non Standard Frame and Grate,300407-003,Lane Type,None,-37.81483779199503,144.94453666853448,"-37.81483779199503, 144.94453666853448"
11252,1452715,Grated Manhole,Precast Concrete,,,,SWD Pit - Not Known,,Grated Manhole,,-37.78265696821723,144.94902695612774,"-37.78265696821723, 144.94902695612774"
