id,asset_number,asset_description,construction_material_lupvalue,grate_length,grate_material_lupvalue,grate_width,model_descr_lupvalue,model_no_lupvalue,object_type_lupvalue,overflow_kerb_lupvalue,lat,lon,construction_material_group
6195,1150812,SWD Pit - System Node,Brick,NA,NA,NA,SWD Pit - System Node,300414-000,System Node,None,-37.81560430898936,144.98811342676882,Brick
6196,1553896,SWD Pit - Trench Grate,Cast Iron Concrete Infill,NA,Cast Iron,NA,SWD Pit - Trench Grate - Non Standard Frame and Grate,300409-001,Trench Grate,None,-37.81043595576915,144.96425098741037,Concrete/Concrete Composite
6197,1730884,SWD Pit - Lane Type,Stainless Steel,600,Stainless Steel,600,SWD Pit - Laneway Type - 600x600 Frame and Grate,300407-002,Lane Type,None,-37.80337011173703,144.9663484845747,Metal
6198,1146115,SWD Pit - Grated Kerbside,Precast Concrete,NA,Mild Steel,NA,SWD Pit - Grated Kerbside Pit - Unclassified,300404-000,Grated Kerbside,None,-37.810265821088535,144.923470429591,Concrete/Concrete Composite
6199,1145934,SWD Pit - Lane Type,Precast Concrete,NA,Mild Steel,NA,SWD Pit - Laneway Type - Unclassified,300407-000,Lane Type,None,-37.828339889111376,144.9202354493307,Concrete/Concrete Composite
6200,1590620,SWD Pit - Not Known,Not Known,NA,NA,NA,SWD Pit - Not Known,300418-000,Not Known,Not Known,-37.80145967393067,144.97384369992136,Unknown
6201,1149346,SWD Pit - System Node,Precast Concrete,NA,NA,NA,SWD Pit - System Node,300414-000,System Node,None,-37.817372744440306,144.96380198410932,Concrete/Concrete Composite
6202,1576206,SWD Pit - Grated OFK,Bluestone,915,Mild Steel,380,"SWD Pit - Grated Overflow Kerb Pit - Bluestone Kerb, 915x381 Frame and Grate",300405-001,Grated OFK,Bluestone,-37.803112589586426,144.96831873948935,Bluestone
6203,1599131,SWD Pit - Side Entry,In Situ Concrete,NA,NA,NA,SWD Pit - Side Entry Pit - Non Standard,300401-004,Side Entry,None,-37.83060611735328,144.9694362086676,Concrete/Concrete Composite
6204,1794214,SWD Pit - Junction,In Situ Concrete,NA,NA,NA,SWD Pit - Junction Pit - Non Standard Cover,300410-007,Junction,None,-37.821339154168,144.94651651281222,Concrete/Concrete Composite
6205,1151595,SWD Pit - System Node,Not Known,NA,NA,NA,SWD Pit - System Node,300414-000,System Node,None,-37.82290323802984,144.91054504880984,Unknown
6206,1142761,SWD Pit - Grated Side Entry,In Situ Concrete,660,Mild Steel,300,SWD Pit - Grated Side Entry Pit - Unclassified,300402-000,Grated Side Entry,None,-37.81477266016897,144.97392584716067,Concrete/Concrete Composite
6207,1143412,SWD Pit - Grated Side Entry,Brick,915,Cast Iron,380,SWD Pit - Grated Side Entry Pit - 915x381 Frame and Grate,300402-001,Grated Side Entry,None,-37.81116957966283,144.94574068039762,Brick
6208,1152433,SWD Pit - Not Known,Precast Concrete,NA,NA,NA,SWD Pit - Not Known,300418-000,Not Known,Not Known,-37.796887142506456,144.96340305653692,Concrete/Concrete Composite
6209,1142075,SWD Pit - Grated OFK,Brick,750,Mild Steel,700,"SWD Pit - Grated Overflow Kerb Pit - Bluestone Kerb, Non Standard Frame and Grate",300405-003,Grated OFK,Bluestone,-37.83263545175131,144.972446800727,Brick
6210,1145624,SWD Pit - Side Entry,Brick,NA,NA,NA,SWD Pit - Side Entry Pit - Unclassified,300401-000,Side Entry,None,-37.82683304917103,144.95751439269418,Brick
6211,1148766,SWD Pit - System Node,Brick,NA,NA,NA,SWD Pit - System Node,300414-000,System Node,None,-37.81179026171871,144.96766388710296,Brick
6212,1141702,SWD Pit - Junction,In Situ Concrete,NA,NA,NA,SWD Pit - Junction Pit - Non Standard Cover,300410-007,Junction,None,-37.82413806708555,144.96702604572022,Concrete/Concrete Composite
6213,1785655,SWDPit - Junction,In Situ Concrete,NA,NA,NA,SWD Pit - Junction Pit - Non Standard Cover,300410-007,Junction,None,-37.81998873554425,144.9551890430629,Concrete/Concrete Composite
6214,1139957,SWD Pit - Grated OFK,Brick,930,Mild Steel,600,SWD Pit - Grated Overflow Kerb Pit - Unclassified,300405-000,Grated OFK,Concrete,-37.81463753952021,144.95198326714225,Brick
6215,1363209,SWD Pit - Junction,Not Known,NA,NA,NA,SWD Pit - Junction Pit - 600x600 Class C Gatic,300410-003,Junction,None,-37.79256644434781,144.9299099883285,Unknown
6216,1150191,SWD Pit - Junction,Precast Concrete,NA,NA,NA,SWD Pit - Junction Pit - Unclassified,300410-000,Junction,None,-37.79732971917721,144.92590661537892,Concrete/Concrete Composite
6217,1146535,SWD Pit - Side Entry,Precast Concrete,NA,NA,NA,SWD Pit - Side Entry Pit - Unclassified,300401-000,Side Entry,None,-37.77936662482008,144.94245158048795,Concrete/Concrete Composite
6218,1148933,SWD Pit - Junction,In Situ Concrete,NA,NA,NA,SWD Pit - Junction Pit - Unclassified,300410-000,Junction,None,-37.81557309329617,144.97358589107583,Concrete/Concrete Composite
6219,1599280,SWD Pit - Junction,Brick,NA,NA,NA,SWD Pit - Junction Pit - 450x450 Class C Gatic,300410-001,Junction,None,-37.82689541005723,144.96111742034336,Brick
6220,1599080,SWD Pit - Junction,In Situ Concrete,NA,NA,NA,SWD Pit - Junction Pit - Unclassified,300410-000,Junction,None,-37.81194095622494,144.9630910022414,Concrete/Concrete Composite
6221,1147169,SWD Pit - Grated Kerbside,Cast Iron Concrete Infill,920,Cast Iron,430,SWD Pit - Grated Kerbside Pit - Non Standard Frame and Grate,300404-003,Grated Kerbside,None,-37.81257395516798,144.97765760385528,Concrete/Concrete Composite
6222,1757788,SWD Pit - Junction,In Situ Concrete,NA,NA,NA,SWD Pit - Junction Pit - Non Standard Cover,300410-007,Junction,None,-37.814044940746186,144.96358126638862,Concrete/Concrete Composite
6223,1152245,SWD Pit - Junction,In Situ Concrete,NA,NA,NA,SWD Pit - Junction Pit - Unclassified,300410-000,Junction,None,-37.81068871900813,144.96720247822316,Concrete/Concrete Composite
6224,1800787,SWD Pit - Laneway Type,In Situ Concrete,1000,Mild Steel,700,SWD Pit - Laneway Type - Unclassified,300407-000,Lane Type,None,-37.81321488798078,144.95332231366658,Concrete/Concrete Composite
6225,1147506,SWD Pit - Grated Side Entry,Cast Iron Concrete Infill,910,Cast Iron,430,SWD Pit - Grated Side Entry Pit - Non Standard Frame and Grate,300402-003,Grated Side Entry,None,-37.82181001143788,144.98403059818256,Concrete/Concrete Composite
6226,1150606,SWD Pit - System Node,Brick,NA,NA,NA,SWD Pit - System Node,300414-000,System Node,None,-37.83089399016513,144.98798823304463,Brick
6227,1149131,SWD Pit - Grated Manhole,Brick,NA,Cast Iron,NA,SWD Pit - Grated Manhole,300413-001,Grated Manhole,None,-37.82003685205008,144.9581901418186,Brick
6228,1148869,SWD Pit - Submerged,Brick,NA,NA,NA,SWD Pit - Submerged,300415-000,Submerged,None,-37.81309002383939,144.96687012397717,Brick
6229,1153476,SWD Pit - Grated Side Entry,In Situ Concrete,1080,Mild Steel,500,"SWD Pit - Grated Overflow Kerb Pit - Exposed Aggregate Kerb, 937x549 Frame and Grate",300405-005,Grated OFK,Concrete,-37.8156406877005,144.94881266471313,Concrete/Concrete Composite
6230,1146166,SWD Pit - Side Entry,Precast Concrete,NA,NA,NA,SWD Pit - Side Entry Pit - Unclassified,300401-000,Side Entry,None,-37.809880798072186,144.9339703323762,Concrete/Concrete Composite
6231,1146364,SWD Pit - Grated Kerbside,Precast Concrete,NA,Mild Steel,NA,SWD Pit - Grated Kerbside Pit - Unclassified,300404-000,Grated Kerbside,None,-37.80812588945426,144.90854040979275,Concrete/Concrete Composite
6232,1759185,SWD Pit - Submerged,Not Known,NA,NA,NA,SWD Pit - Submerged,300415-000,Submerged,None,-37.811871786140074,144.9649592049296,Unknown
6233,1364102,SWD Pit - Junction,Cast Iron Concrete Infill,NA,NA,NA,SWD Pit - Junction Pit - 450x450 Class C Gatic,300410-001,Junction,None,-37.81309359309445,144.98562369218888,Concrete/Concrete Composite
6234,1146961,SWD Pit - Grated Side Entry,Precast Concrete,938,Mild Steel,545,SWD Pit - Grated Side Entry Pit - 937x549 Frame and Grate,300402-002,Grated Side Entry,None,-37.78494769445635,144.94162060904526,Concrete/Concrete Composite
6235,1153463,SWD Pit - Grated Side Entry,In Situ Concrete,900,Mild Steel,430,"SWD Pit - Grated Overflow Kerb Pit - Exposed Aggregate Kerb, 915x381 Frame and Grate",300405-004,Grated OFK,Concrete,-37.818157697575245,144.94922840306435,Concrete/Concrete Composite
6236,1658747,SWD Pit - Junction,In Situ Concrete,NA,NA,NA,SWD Pit - Junction Pit - Non Standard Cover,300410-007,Junction,None,-37.82405320522608,144.96731478499032,Concrete/Concrete Composite
6237,1141791,SWD Pit - Junction,In Situ Concrete,NA,NA,NA,SWD Pit - Junction Pit - Non Standard Cover,300410-007,Junction,None,-37.82612755501255,144.96920666867516,Concrete/Concrete Composite
6238,1146952,SWD Pit - Junction,Precast Concrete,NA,NA,NA,SWD Pit - Junction Pit - Unclassified,300410-000,Junction,None,-37.78390581777431,144.94140255060435,Concrete/Concrete Composite
