sa2_5digitcode_2011,sa2_name_2011,sa3_name_2011,sa4_name_2011,gccsa_name_2011
21162,Blackburn South,Whitehorse - West,Melbourne - Inner East,Greater Melbourne
21163,Box Hill,Whitehorse - West,Melbourne - Inner East,Greater Melbourne
21164,Box Hill North,Whitehorse - West,Melbourne - Inner East,Greater Melbourne
21165,Burwood,Whitehorse - West,Melbourne - Inner East,Greater Melbourne
21166,Burwood East,Whitehorse - West,Melbourne - Inner East,Greater Melbourne
21167,Surrey Hills (East) - Mont Albert,Whitehorse - West,Melbourne - Inner East,Greater Melbourne
21168,Beaumaris,Bayside,Melbourne - Inner South,Greater Melbourne
21169,Brighton (Vic.),Bayside,Melbourne - Inner South,Greater Melbourne
21170,Brighton East,Bayside,Melbourne - Inner South,Greater Melbourne
21171,Cheltenham - Highett (West),Bayside,Melbourne - Inner South,Greater Melbourne
21172,Hampton,Bayside,Melbourne - Inner South,Greater Melbourne
21173,Sandringham - Black Rock,Bayside,Melbourne - Inner South,Greater Melbourne
21174,Bentleigh - McKinnon,Glen Eira,Melbourne - Inner South,Greater Melbourne
21175,Bentleigh East,Glen Eira,Melbourne - Inner South,Greater Melbourne
21176,Carnegie,Glen Eira,Melbourne - Inner South,Greater Melbourne
21177,Caulfield - North,Glen Eira,Melbourne - Inner South,Greater Melbourne
21178,Caulfield - South,Glen Eira,Melbourne - Inner South,Greater Melbourne
21179,Elsternwick,Glen Eira,Melbourne - Inner South,Greater Melbourne
21180,Hughesdale,Glen Eira,Melbourne - Inner South,Greater Melbourne
21181,Murrumbeena,Glen Eira,Melbourne - Inner South,Greater Melbourne
21182,Ormond - Glen Huntly,Glen Eira,Melbourne - Inner South,Greater Melbourne
21183,Aspendale Gardens - Waterways,Kingston,Melbourne - Inner South,Greater Melbourne
21184,Braeside,Kingston,Melbourne - Inner South,Greater Melbourne
21185,Carrum - Patterson Lakes,Kingston,Melbourne - Inner South,Greater Melbourne
21186,Chelsea - Bonbeach,Kingston,Melbourne - Inner South,Greater Melbourne
21187,Chelsea Heights,Kingston,Melbourne - Inner South,Greater Melbourne
21188,Cheltenham - Highett (East),Kingston,Melbourne - Inner South,Greater Melbourne
21189,Edithvale - Aspendale,Kingston,Melbourne - Inner South,Greater Melbourne
21190,Mentone,Kingston,Melbourne - Inner South,Greater Melbourne
21191,Moorabbin - Heatherton,Kingston,Melbourne - Inner South,Greater Melbourne
21192,Moorabbin Airport,Kingston,Melbourne - Inner South,Greater Melbourne
21193,Mordialloc - Parkdale,Kingston,Melbourne - Inner South,Greater Melbourne
21194,Malvern - Glen Iris,Stonnington - East,Melbourne - Inner South,Greater Melbourne
21195,Malvern East,Stonnington - East,Melbourne - Inner South,Greater Melbourne
21196,Bundoora - East,Banyule,Melbourne - North East,Greater Melbourne
21197,Greensborough,Banyule,Melbourne - North East,Greater Melbourne
21198,Heidelberg - Rosanna,Banyule,Melbourne - North East,Greater Melbourne
21199,Heidelberg West,Banyule,Melbourne - North East,Greater Melbourne
21200,Ivanhoe,Banyule,Melbourne - North East,Greater Melbourne
21201,Ivanhoe East - Eaglemont,Banyule,Melbourne - North East,Greater Melbourne
21202,Montmorency - Briar Hill,Banyule,Melbourne - North East,Greater Melbourne
21203,Viewbank - Yallambie,Banyule,Melbourne - North East,Greater Melbourne
21204,Watsonia,Banyule,Melbourne - North East,Greater Melbourne
21205,Kingsbury,Darebin - North,Melbourne - North East,Greater Melbourne
21206,Preston,Darebin - North,Melbourne - North East,Greater Melbourne
21207,Reservoir - East,Darebin - North,Melbourne - North East,Greater Melbourne
21208,Reservoir - West,Darebin - North,Melbourne - North East,Greater Melbourne
21209,Eltham,Nillumbik - Kinglake,Melbourne - North East,Greater Melbourne
21210,Hurstbridge,Nillumbik - Kinglake,Melbourne - North East,Greater Melbourne
21211,Kinglake,Nillumbik - Kinglake,Melbourne - North East,Greater Melbourne
21212,Panton Hill - St Andrews,Nillumbik - Kinglake,Melbourne - North East,Greater Melbourne
21213,Plenty - Yarrambat,Nillumbik - Kinglake,Melbourne - North East,Greater Melbourne
21214,Research - North Warrandyte,Nillumbik - Kinglake,Melbourne - North East,Greater Melbourne
21215,Wattle Glen - Diamond Creek,Nillumbik - Kinglake,Melbourne - North East,Greater Melbourne
21216,Bundoora - North,Whittlesea - Wallan,Melbourne - North East,Greater Melbourne
21217,Bundoora - West,Whittlesea - Wallan,Melbourne - North East,Greater Melbourne
21218,Epping,Whittlesea - Wallan,Melbourne - North East,Greater Melbourne
21219,Lalor,Whittlesea - Wallan,Melbourne - North East,Greater Melbourne
21220,Mill Park - North,Whittlesea - Wallan,Melbourne - North East,Greater Melbourne
21221,Mill Park - South,Whittlesea - Wallan,Melbourne - North East,Greater Melbourne
21222,South Morang,Whittlesea - Wallan,Melbourne - North East,Greater Melbourne
21223,Thomastown,Whittlesea - Wallan,Melbourne - North East,Greater Melbourne
21224,Wallan,Whittlesea - Wallan,Melbourne - North East,Greater Melbourne
21225,Whittlesea,Whittlesea - Wallan,Melbourne - North East,Greater Melbourne
21226,Airport West,Keilor,Melbourne - North West,Greater Melbourne
21227,Essendon Airport,Keilor,Melbourne - North West,Greater Melbourne
21228,Keilor,Keilor,Melbourne - North West,Greater Melbourne
21229,Keilor East,Keilor,Melbourne - North West,Greater Melbourne
21230,Niddrie - Essendon West,Keilor,Melbourne - North West,Greater Melbourne
21231,Strathmore,Keilor,Melbourne - North West,Greater Melbourne
21232,Gisborne,Macedon Ranges,Melbourne - North West,Greater Melbourne
21233,Macedon,Macedon Ranges,Melbourne - North West,Greater Melbourne
21234,Riddells Creek,Macedon Ranges,Melbourne - North West,Greater Melbourne
21235,Romsey,Macedon Ranges,Melbourne - North West,Greater Melbourne
21236,Coburg North,Moreland - North,Melbourne - North West,Greater Melbourne
21237,Fawkner,Moreland - North,Melbourne - North West,Greater Melbourne
21238,Glenroy - Hadfield,Moreland - North,Melbourne - North West,Greater Melbourne
21239,Pascoe Vale,Moreland - North,Melbourne - North West,Greater Melbourne
21240,Sunbury,Sunbury,Melbourne - North West,Greater Melbourne
21241,Sunbury - South,Sunbury,Melbourne - North West,Greater Melbourne
21242,Broadmeadows,Tullamarine - Broadmeadows,Melbourne - North West,Greater Melbourne
