geo_point_2d,lat,lon,geo_shape,built,dnstr_pit,upstr_inv,upstr_pit,ref,width_mm,condition,operator,diameter,material,height_mm,mat_desc,dnstr_inv,connection_status,pipe_length_m,pipe_age_yr
"-37.816297246695754, 144.96347792063466",-37.816297246695754,144.96347792063466,"{""coordinates"": [[144.96347530265214, -37.81629154698902], [144.96348053861718, -37.816302946402494]], ""type"": ""LineString""}",1885-01-01,1149451,NA,1143032,1128907,0,1.89380128492193,City of Melbourne,300,Earthenware,0,Earthenware,NA,Both connections recorded,1.346633413653634,141
"-37.82595090831146, 144.95882551544992",-37.82595090831146,144.95882551544992,"{""coordinates"": [[144.95882607954465, -37.82593043711752], [144.9588249513552, -37.825971379505404]], ""type"": ""LineString""}",2005-01-01,1154290,NA,1154289,1139892,0,4.75380545009859,City of Melbourne,225,Concrete,0,RCP up to 375 Diameter,-0.6,Both connections recorded,4.545411407624125,21
"-37.81307154835069, 144.98562855908273",-37.81307154835069,144.98562855908273,"{""coordinates"": [[144.98562544458542, -37.81309126558848], [144.98563167358, -37.813051831112894]], ""type"": ""LineString""}",2012-02-15,NA,NA,NA,1503758,0,4.92136157276113,City of Melbourne,225,Concrete,0,NA,NA,Both connections missing,4.411181626007224,14
"-37.813484589643046, 144.94265227851318",-37.813484589643046,144.94265227851318,"{""coordinates"": [[144.9426581714555, -37.81348095698092], [144.94265340405107, -37.81348111699921], [144.94265123118217, -37.81348299312528], [144.9426495137051, -37.813491665744706]], ""type"": ""LineString""}",2012-02-15,NA,NA,NA,1503799,0,4.92136155619751,City of Melbourne,150,Concrete,0,NA,NA,Both connections missing,1.6773634444688565,14
"-37.81238016829394, 144.95822220227046",-37.81238016829394,144.95822220227046,"{""coordinates"": [[144.95787183651086, -37.812479902205], [144.95857256803006, -37.812280434382885]], ""type"": ""LineString""}",1933-01-01,1140169,NA,1140164,1126998,0,3.03659405247236,City of Melbourne,300,Earthenware,0,Earthenware,NA,Both connections recorded,65.55511908398579,93
"-37.81393023661332, 144.97858762080614",-37.81393023661332,144.97858762080614,"{""coordinates"": [[144.97846377805777, -37.813922793637275], [144.97871146355448, -37.81393767958935]], ""type"": ""LineString""}",NA,1154728,NA,1154727,1154492,0,NA,City of Melbourne,150,Plastic,0,Unknown,NA,Both connections recorded,21.872173576724094,NA
"-37.80232043480086, 144.92638272462054",-37.80232043480086,144.92638272462054,"{""coordinates"": [[144.92640456733432, -37.80220922051545], [144.92636088190676, -37.80243164908627]], ""type"": ""LineString""}",1940-01-01,1152302,NA,1152304,1138136,0,NA,4,NA,Unknown,0,Unknown,NA,Both connections recorded,24.9859303941195,86
"-37.835114786356925, 144.97667419628613",-37.835114786356925,144.97667419628613,"{""coordinates"": [[144.9767227224212, -37.83511757185109], [144.97662567015107, -37.835112000862765]], ""type"": ""LineString""}",1990-01-01,1142138,NA,1142137,1132274,0,4.4008511221208,City of Melbourne,300,Concrete,0,RCP up to 375 Diameter,NA,Both connections recorded,8.565737919581332,36
"-37.80548820352174, 144.9428505615236",-37.80548820352174,144.9428505615236,"{""coordinates"": [[144.94310212165072, -37.805514743865636], [144.9426173011722, -37.80546359377529], [144.94259900115716, -37.805461665447936]], ""type"": ""LineString""}",1944-01-01,1149743,NA,1149742,1129717,0,3.29844876362722,City of Melbourne,375,Earthenware,0,Earthenware,NA,Both connections recorded,44.6967342677162,82
"-37.826357573720074, 144.97505188796242",-37.826357573720074,144.97505188796242,"{""coordinates"": [[144.97507413742738, -37.82636075454141], [144.9750296384975, -37.826354392898736]], ""type"": ""LineString""}",NA,1376139,NA,1376140,1376822,NA,3,City of Melbourne,150,Plastic,NA,NA,NA,Both connections recorded,3.980771812020473,NA
"-37.82584129760286, 144.97440716089136",-37.82584129760286,144.97440716089136,"{""coordinates"": [[144.97438825240192, -37.825838926622964], [144.97442606938077, -37.82584366858275]], ""type"": ""LineString""}",NA,1376164,NA,1376165,1376824,NA,3,City of Melbourne,150,Plastic,NA,NA,NA,Both connections recorded,3.370743303414057,NA
"-37.81825973081652, 144.94649787065077",-37.81825973081652,144.94649787065077,"{""coordinates"": [[144.94643334684824, -37.818113390475624], [144.94656239445328, -37.818406071157426]], ""type"": ""LineString""}",2012-02-15,NA,NA,NA,1503800,150,4.92136155576713,City of Melbourne,NA,Metal,150,NA,NA,Both connections missing,34.41533040279863,14
"-37.8017313895659, 144.9623891354285",-37.8017313895659,144.9623891354285,"{""coordinates"": [[144.96243842964662, -37.80173683805583], [144.96233984121042, -37.80172594107597]], ""type"": ""LineString""}",1924-01-01,1149625,NA,1148500,1129387,0,2.82225842599599,City of Melbourne,300,Earthenware,0,Earthenware,NA,Both connections recorded,8.766363046575616,102
